,Unnamed: 0,UserID,댓글텍스트,좋아요 수,video_ID,긍부정,선수,경기,영상
0,0,@kimsoonsoo6004,김하성의 영상엔 김하성이 한번도 등장하지 않는다.,348.0,0BWScn_OWPk,부정,-,부정,부정
1,1,@user-nt9zc3bk5d,김하성의 야구엔 무안타의 감동이있다,191.0,0BWScn_OWPk,긍정,긍정,-,-
2,2,@user-hw6tt8ke1n,썸넬 김하성이 끝내기홈런친줄..ㅡㅡ,105.0,0BWScn_OWPk,긍정,긍정,부정,-
3,3,@user-ff9po2nn6s,김하성의 샌디에이고 썸네일 개강조 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하성아 스포타임을 위해서라도 얼른 홈런날리자 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,123.0,0BWScn_OWPk,긍정,-,긍정,긍정
4,4,@user-th3mk7kc4y,김하성의 무안타엔 감동이있다,79.0,0BWScn_OWPk,긍정,긍정,-,-
5,5,@user-jt4qk9sx5v,썸네일 제목 뽑은 거 보니 김하성 무안타 였나보군?,41.0,0BWScn_OWPk,부정,부정,-,부정
6,6,@zimbra67,진짜 잘 치네. 제구도 엄청 잘 된 공인데 기다렸다는 듯이 위로 걷어 올려버리는구만. 몸쪽으로 바짝 붙여서 가장 낮은 스트라이크존으로 뚝 떨어트린 공을......ㄷㄷㄷㄷ메이저리그 타자들이 무섭긴 무섭네.,8.0,0BWScn_OWPk,긍정,긍정,-,-
7,7,@user-vv8bw2sx5n,샌디에이고의 2경기 연속 끝내기 홈런에는 언제나 감동 감탄 환호 멋진 플레이가있다,10.0,0BWScn_OWPk,긍정,긍정,긍정,긍정
8,8,@user-ke2cz6nn7k,김하성4타수 무안타 ~~~,17.0,0BWScn_OWPk,부정,부정,-,-
9,9,@user-vg9qn3ww9r,김하성의 야구에는 낚시 썸네일과 무안타가 있다.,10.0,0BWScn_OWPk,긍정,긍정,-,부정
10,10,@muso4382,이야... 분위기 너무 좋다... 게임할맛 나겠다....,3.0,0BWScn_OWPk,긍정,-,긍정,긍정
